Date,SP500_Returns,VIX,Treasury_10Y,Yield_Spread,Inflation_YoY,CPI
1991-01-31,4.15177499981747,20.91,8.03,0.98,5.647058823529405,134.2
1991-02-28,6.728117681278034,21.23,8.02,0.98,5.312500000000009,134.7
1991-03-31,2.220283252204202,16.88,8.05,1.03,4.821150855365497,134.8
1991-04-30,0.0319799362499706,18.24,8.02,1.22,4.809930178432875,134.8
1991-05-31,3.8604972493607503,15.93,8.06,1.38,5.034856700232382,135.1
1991-06-30,-4.789262897479862,19.55,8.24,1.34,4.695919938414161,135.6
1991-07-31,4.485934295776639,15.18,8.2,1.39,4.367816091954024,136.0
1991-08-31,1.9648784624321625,14.46,7.82,1.46,3.7993920972644313,136.2
1991-09-30,-1.9143735843086371,15.85,7.47,1.48,3.396226415094339,136.6
1991-10-31,1.1834236654519217,15.48,7.47,1.77,2.8485757121439192,137.0
1991-11-30,-4.390370862630699,20.26,7.38,2.0,3.0665669409125185,137.2
1991-12-31,11.15878550742815,19.31,6.71,1.94,2.980625931445613,137.8
1992-01-31,-1.9923751783923584,17.4,7.31,2.2,2.672605790645899,138.2
1992-02-29,0.958954312696414,16.68,7.27,2.0,2.818991097922829,138.3
1992-03-31,-2.183186212532784,16.18,7.54,1.94,3.189910979228472,138.6
1992-04-30,2.7892713957560438,15.53,7.61,2.15,3.182827535159149,139.1
1992-05-31,0.096395682544248,13.86,7.33,2.14,3.023598820059004,139.4
1992-06-30,-1.7358833150663775,13.35,7.14,2.31,3.0147058823529305,139.7
1992-07-31,3.9373686063305824,13.17,6.72,2.3,3.1571218795888534,140.1
1992-08-31,-2.399753160189122,13.58,6.62,2.47,3.074670571010252,140.5
1992-09-30,0.9105593857418716,14.28,6.37,2.57,2.9927007299270114,140.8
1992-10-31,0.2106282691536565,16.15,6.8,2.4,3.279883381924198,141.1
1992-11-30,3.026180770368403,13.01,6.95,2.16,3.12046444121914,141.7
1992-12-31,1.0107766987062838,12.57,6.7,2.14,2.966714905933454,142.1
1993-01-31,0.7045987892006611,12.42,6.39,2.19,3.2537960954446943,142.3
1993-02-28,1.0483627595407663,13.16,6.03,2.11,3.2467532467532534,142.8
1993-03-31,1.8697299051888767,12.53,6.03,2.07,3.0194104960460155,143.1
1993-04-30,-2.541681016015662,12.42,6.05,2.22,3.1563845050215145,143.3
1993-05-31,2.271746278774489,13.47,6.16,1.92,3.2211882605583497,143.8
1993-06-30,0.0755228539165209,11.26,5.8,1.77,2.9978586723768963,144.2
1993-07-31,-0.532704570835929,11.73,5.83,1.7,2.8469750889679624,144.3
1993-08-31,3.4431956145887237,11.85,5.45,1.57,2.840909090909083,144.5
1993-09-30,-0.9987930164805148,12.99,5.4,1.51,2.763997165131116,144.8
1993-10-31,1.9392922751884532,11.46,5.43,1.44,2.752293577981657,145.0
1993-11-30,-1.291062608362914,13.76,5.83,1.61,2.744546094299793,145.6
1993-12-31,1.0091174724184304,11.66,5.83,1.58,2.8109627547435068,146.0
1994-01-31,3.2500745519977725,10.63,5.7,1.58,2.450980392156854,146.3
1994-02-28,-3.004499728667853,14.87,6.15,1.48,2.515723270440251,146.3
1994-03-31,-4.574651060635082,20.45,6.77,1.56,2.6517794836008246,146.7
1994-04-30,1.1530643100964522,13.77,7.06,1.33,2.364394993045882,147.1
1994-05-31,1.2397144202814123,13.03,7.17,1.16,2.288488210818307,147.2
1994-06-30,-2.679082362832008,14.97,7.34,1.15,2.494802494802495,147.5
1994-07-31,3.1489907258900107,11.13,7.12,1.13,2.69896193771626,147.9
1994-08-31,3.759869964992624,11.97,7.19,1.02,2.900552486187835,148.4
1994-09-30,-2.6877534841474704,14.28,7.62,1.0,2.965517241379323,149.0
1994-10-31,2.0833815622011143,14.56,7.81,0.97,2.609890109890123,149.3
1994-11-30,-3.950461187888721,15.95,7.91,0.51,2.602739726027403,149.4
1994-12-31,1.2299117331743048,13.2,7.84,0.15,2.597402597402576,149.8
1995-01-31,2.4277711761677034,11.96,7.6,0.34,2.8708133971291794,150.1
1995-02-28,3.607414807259257,11.75,7.22,0.43,2.862985685071595,150.5
1995-03-31,2.732919511338072,13.37,7.2,0.4,2.7872195785180187,150.9
1995-04-30,2.796035780491146,11.75,7.07,0.47,3.125000000000022,151.2
1995-05-31,3.631171269946476,12.85,6.3,0.41,3.1186440677966054,151.8
1995-06-30,2.1278543431649366,11.38,6.21,0.42,3.0425963488843744,152.1
1995-07-31,3.177603957520647,13.49,6.45,0.57,2.8301886792452717,152.4
1995-08-31,-0.032023747742782,11.52,6.28,0.43,2.617449664429538,152.6
1995-09-30,4.009747288732535,12.74,6.17,0.34,2.54521098459477,152.9
1995-10-31,-0.4979335189770228,13.83,6.03,0.42,2.7443105756358666,153.1
1995-11-30,4.104900278106194,11.58,5.76,0.4,2.603471295060067,153.5
1995-12-31,1.744387340596476,12.52,5.58,0.4,2.5316455696202667,153.7
1996-01-31,3.2617386869231213,12.53,5.6,0.67,2.7906976744185963,153.9
1996-02-29,0.6933701784703983,17.04,6.13,0.69,2.717031146454607,154.7
1996-03-31,0.7916567590839696,18.88,6.34,0.55,2.8439153439153486,155.0
1996-04-30,1.343142201418468,15.83,6.66,0.63,2.832674571805005,155.5
1996-05-31,2.285340599170316,16.07,6.85,0.58,2.827087442472065,156.1
1996-06-30,0.2256709972268122,13.68,6.73,0.62,2.8215223097112663,156.4
1996-07-31,-4.57480167192077,19.46,6.8,0.58,2.8833551769331667,156.7
1996-08-31,1.881393514756069,17.01,6.96,0.62,2.8122956180510084,157.0
1996-09-30,5.420332732833044,16.95,6.72,0.62,3.004572175048992,157.2
1996-10-31,2.610100242291802,18.11,6.37,0.6,3.0618892508143203,157.7
1996-11-30,7.337615178140577,17.14,6.06,0.47,3.253090435914108,158.2
1996-12-31,-2.150541448950805,20.92,6.43,0.55,3.378817413905133,158.7
1997-01-31,5.863054951581548,19.47,6.61,0.6,3.0381383322559907,159.1
1997-02-28,0.8480335334162481,21.1,6.56,0.47,3.032258064516125,159.4
1997-03-31,-4.261401064074876,22.14,6.92,0.47,2.7652733118971096,159.7
1997-04-30,5.840557906734034,20.06,6.72,0.43,2.434336963484962,159.8
1997-05-31,5.857688480332501,19.19,6.67,0.45,2.237851662404089,159.9
1997-06-30,4.345261479527585,21.53,6.51,0.43,2.233567326100827,159.9
1997-07-31,7.814580943742477,21.48,6.02,0.28,2.165605095541401,160.2
1997-08-31,-5.746563170852836,24.76,6.34,0.37,2.290076335877877,160.4
1997-09-30,5.315359061556713,22.91,6.12,0.32,2.21940393151554,160.8
1997-10-31,-3.447769737522033,35.09,5.84,0.21,2.0859671302149163,161.2
1997-11-30,4.458685521263939,27.43,5.86,0.1,1.8903591682419616,161.5
1997-12-31,1.5731597108694428,24.01,5.75,0.09,1.6970458830924071,161.7
1998-01-31,1.0150177442407982,21.47,5.53,0.21,1.6311166875784044,161.8
1998-02-28,7.044919253631243,18.55,5.62,0.07,1.440200375704448,162.0
1998-03-31,4.994571434122053,24.22,5.67,0.07,1.3767209011263937,162.0
1998-04-30,0.9076469253460396,21.18,5.68,0.09,1.4383989993745905,162.0
1998-05-31,-1.8826223261468435,21.32,5.56,0.03,1.6885553470919357,162.2
1998-06-30,3.943824063504042,19.71,5.44,-0.05,1.6229712858926382,162.6
1998-07-31,-1.161532691738543,24.8,5.5,0.01,1.74563591022443,162.8
1998-08-31,-14.579671825011388,44.28,5.05,0.14,1.6169154228855789,163.2
1998-09-30,6.239551504341101,40.95,4.44,0.14,1.4267990074441794,163.4
1998-10-31,8.029422856762892,28.05,4.64,0.52,1.4860681114551078,163.5
1998-11-30,5.912599628568138,26.01,4.74,0.2,1.4842300556586308,163.9
1998-12-31,5.637528708495609,24.42,4.65,0.11,1.606922126081578,164.1
1999-01-31,4.100944085374847,26.25,4.66,0.08,1.6666666666666607,164.4
1999-02-28,-3.2282562377591306,27.88,5.29,0.16,1.6666666666666607,164.7
1999-03-31,3.87942154089167,23.26,5.25,0.26,1.728395061728394,164.7
1999-04-30,3.7944027596277454,25.07,5.36,0.28,2.281134401972884,164.8
1999-05-31,-2.4970480796175143,25.39,5.64,0.22,2.091020910209096,165.9
1999-06-30,5.443833111432483,21.09,5.81,0.28,1.96560196560196,166.0
1999-07-31,-3.2046092391091685,24.64,5.92,0.29,2.1446078431372584,166.0
1999-08-31,-0.6254091687235008,24.45,5.98,0.25,2.2643818849449104,166.7
1999-09-30,-2.855179244802464,25.41,5.9,0.27,2.629969418960254,167.1
1999-10-31,6.253954145238461,22.2,6.02,0.23,2.56253813300793,167.8
1999-11-30,1.906185896922041,24.18,6.18,0.17,2.620353443022561,168.1
1999-12-31,5.784389473992291,24.64,6.45,0.21,2.676399026763998,168.4
2000-01-31,-5.090354879190063,24.95,6.68,0.07,2.792956891317555,168.8
2000-02-29,-2.010808325635693,23.37,6.42,-0.11,3.217972070431085,169.3
2000-03-31,9.671982835364812,24.11,6.03,-0.47,3.762135922330101,170.0
