Date,SP500_Returns,VIX,Inflation_YoY,Unemployment,Fed_Rate,Consumer_Sentiment,Industrial_Production,CPI,cumret_5,cumret_10,cumret_20,cumret_30
2006-01-03,1.6430484201434892,11.14,3.451882845188292,5.0,4.16,91.5,108.96,197.8,1.6464290490388445,0.7195779107389999,1.0766008499126123,0.8827199512026818
2006-01-04,0.3672692252556953,11.37,3.451882845188292,5.0,4.16,91.5,108.96,197.8,1.6270706114846378,0.9093397892522059,-0.20573831903271111,1.250140910091302
2006-01-05,0.0015720581615585,11.31,3.451882845188292,5.0,4.16,91.5,108.96,197.8,0.9878504819816447,-0.9415138375368226,-0.7420573010025855,1.0805045997315466
2006-01-06,0.9399418040885844,11.0,3.451882845188292,4.9,4.16,91.5,108.96,197.8,0.168037205782956,-1.6826796611640438,-1.5893214373690956,-0.18825484981301877
2006-01-09,0.3656364246544807,11.13,3.451882845188292,4.9,4.16,91.5,108.96,197.8,-0.5596225684221579,-1.8052194412876421,-2.741541250851909,0.19532763504730433
2006-01-10,-0.0356612021165103,10.86,3.451882845188292,4.9,4.16,91.5,108.96,197.8,-0.9118383665526419,-1.9392170856230795,-1.8640074812070528,-0.147314659341935
2006-01-11,0.3481544021186611,10.94,3.451882845188292,4.9,4.16,91.5,108.96,197.8,-0.7062398019679894,-1.5724317182835401,-2.3489795200360986,-0.3670277552477841
2006-01-12,-0.6274239116809244,11.2,3.451882845188292,4.9,4.16,91.5,108.96,197.8,-1.910491519831603,-0.1819579011872796,-1.4828287553092512,0.6267154064523384
2006-01-13,0.1205174476460513,11.23,3.451882845188292,4.9,4.16,91.5,108.96,197.8,-1.847612191047454,-0.18794852267720596,-1.9221658950743792,-0.5397559238387917
2006-01-17,-0.3634587875106621,11.91,3.451882845188292,4.9,4.16,91.5,109.762,197.8,-1.2526067428922927,-0.2221553426085765,-0.576806536931429,0.6477310668185021
2006-01-18,-0.3897328607695538,12.25,3.399581589958167,4.9,4.16,91.5,109.762,197.7,-1.03683295979492,0.35447223526892113,0.16197649339659836,0.8771967530575964
2006-01-19,0.5563673325403196,11.98,3.399581589958167,4.9,4.16,91.5,109.762,197.7,-0.8723528191379115,-1.1050296341386656,0.3377300075006806,0.17041814571374658
2006-01-20,-1.8326315221513176,14.56,3.399581589958167,4.9,4.16,91.5,109.762,197.7,1.7622003060539404,0.20135229626578877,2.041236965757931,1.3293818945114166
2006-01-23,0.1846987350454298,13.93,3.4536891679748827,4.9,4.16,91.5,109.762,197.7,1.6909050359535716,0.09495602959197491,1.5200015685952195,0.9542544908522466
2006-01-24,0.2405436843615493,13.31,3.4536891679748827,4.9,4.16,91.5,109.762,197.7,1.0435226351755533,-0.9535352126016527,2.037325268158008,0.9164379241436205
2006-01-25,-0.1720736044891424,12.87,3.4536891679748827,4.9,4.16,91.5,109.762,197.7,1.4058818413709595,0.07669692427574315,1.8273384864220255,0.5969831449194718
2006-01-26,0.7234954261278626,12.42,3.4536891679748827,4.9,4.16,91.5,109.762,197.7,-0.23472444027266004,-0.7889535577369267,1.2246609197797964,0.5958478095563713
