Date,SP500_Returns,VIX,Treasury_10Y,Yield_Spread,Inflation_YoY,CPI
2009-01-02,3.1608068411811407,39.19,2.46,1.58,1.1849072732885269,213.06
2009-01-05,-0.4668357633531128,39.08,2.49,1.71,1.1849072732885269,213.06
2009-01-06,0.78171328961949,38.56,2.51,1.71,1.1849072732885269,213.06
2009-01-07,-3.0009615306130777,43.39,2.52,1.7,1.1849072732885269,213.06
2009-01-08,0.339707270915035,42.56,2.47,1.64,1.1849072732885269,213.06
2009-01-09,-2.130302979882748,42.82,2.43,1.68,1.1849072732885269,213.06
2009-01-12,-2.256412239141281,45.84,2.34,1.6,1.1849072732885269,213.06
2009-01-13,0.1758058792257655,43.27,2.33,1.57,1.1849072732885269,213.06
2009-01-14,-3.345987410426654,49.14,2.24,1.51,1.1849072732885269,213.06
2009-01-15,0.1329181747024233,51.0,2.23,1.5,1.1849072732885269,213.06
2009-01-16,0.7561576974726814,46.11,2.36,1.63,0.4392942796761057,211.49
2009-01-20,-5.281610204671527,56.65,2.4,1.67,0.1562795984088039,211.49
2009-01-21,4.349124562903017,46.42,2.56,1.78,0.1562795984088039,211.49
2009-01-22,-1.5162323124874533,47.29,2.62,1.87,0.1562795984088039,211.49
2009-01-23,0.5377658256231044,47.27,2.65,1.82,0.1562795984088039,211.49
2009-01-26,0.5553212391849582,45.69,2.7,1.85,0.1562795984088039,211.49
2009-01-27,1.0925582519593302,42.25,2.59,1.72,0.1562795984088039,211.49
2009-01-28,3.3557607389604893,39.66,2.71,1.82,0.1562795984088039,211.49
2009-01-29,-3.3120172199171183,42.63,2.87,1.92,0.1562795984088039,211.49
2009-01-30,-2.2789134855526583,44.84,2.87,1.93,0.1562795984088039,211.49
2009-02-02,-0.0532768003589922,45.52,2.76,1.87,0.1562795984088039,211.49
2009-02-03,1.5833988279658762,43.06,2.89,1.93,0.1562795984088039,211.49
2009-02-04,-0.7489510230927809,43.85,2.95,1.97,0.1562795984088039,211.49
2009-02-05,1.6365662661559144,43.73,2.95,1.97,0.1562795984088039,211.49
2009-02-06,2.6896022529575125,43.37,3.05,2.06,0.1562795984088039,211.49
2009-02-09,0.148519352839016,43.64,3.07,2.02,0.1562795984088039,211.49
2009-02-10,-4.912120013376109,46.67,2.9,1.98,0.1562795984088039,211.49
2009-02-11,0.7954951041488467,44.53,2.78,1.85,0.1562795984088039,211.49
2009-02-12,0.17391659558319,41.25,2.75,1.86,0.1562795984088039,211.49
2009-02-13,-0.9997695807575592,42.93,2.89,1.92,0.1562795984088039,211.49
2009-02-17,-4.55590473632177,48.66,2.64,1.77,0.1562795984088039,211.49
2009-02-18,-0.0950365594538094,48.46,2.74,1.77,0.1974805834438431,211.577
2009-02-19,-1.202402358417931,47.08,2.85,1.84,-0.0486583522297801,211.577
2009-02-20,-1.141296456796903,49.3,2.78,1.82,0.2333711262282767,212.174
