Date,SP500_Returns,VIX,Treasury_10Y,Yield_Spread,Inflation_YoY
1991-01-31,4.15177499981747,20.91,8.03,0.98,6.175771971496435
1991-02-28,6.728117681278034,21.23,8.02,0.98,5.5599060297572445
1991-03-31,2.220283252204202,16.88,8.05,1.03,5.300077942322679
1991-04-30,0.0319799362499706,18.24,8.02,1.22,4.732350659425899
1991-05-31,3.8604972493607503,15.93,8.06,1.38,4.802478698683199
1991-06-30,-4.789262897479862,19.55,8.24,1.34,4.949729311678253
1991-07-31,4.485934295776639,15.18,8.2,1.39,4.615384615384621
1991-08-31,1.9648784624321625,14.46,7.82,1.46,4.444444444444451
1991-09-30,-1.9143735843086371,15.85,7.47,1.48,3.878326996197723
1991-10-31,1.1834236654519217,15.48,7.47,1.77,3.471698113207533
1991-11-30,-4.390370862630699,20.26,7.38,2.0,2.925731432858192
1991-12-31,11.15878550742815,19.31,6.71,1.94,3.0665669409125185
1992-01-31,-1.9923751783923584,17.4,7.31,2.2,3.05741983594332
1992-02-29,0.958954312696414,16.68,7.27,2.0,2.596439169139475
1992-03-31,-2.183186212532784,16.18,7.54,1.94,2.664692820133241
1992-04-30,2.7892713957560438,15.53,7.61,2.15,3.259259259259273
1992-05-31,0.096395682544248,13.86,7.33,2.14,3.2520325203251765
1992-06-30,-1.7358833150663775,13.35,7.14,2.31,3.095062638172452
1992-07-31,3.9373686063305824,13.17,6.72,2.3,3.161764705882364
1992-08-31,-2.399753160189122,13.58,6.62,2.47,3.0814380044020373
1992-09-30,0.9105593857418716,14.28,6.37,2.57,3.1478770131771583
1992-10-31,0.2106282691536565,16.15,6.8,2.4,2.9905178701677526
1992-11-30,3.026180770368403,13.01,6.95,2.16,3.352769679300316
1992-12-31,1.0107766987062838,12.57,6.7,2.14,3.12046444121914
1993-01-31,0.7045987892006611,12.42,6.39,2.19,2.894356005788712
1993-02-28,1.0483627595407663,13.16,6.03,2.11,3.3261026753434564
1993-03-31,1.8697299051888767,12.53,6.03,2.07,3.388608507570301
1993-04-30,-2.541681016015662,12.42,6.05,2.22,3.012912482065988
1993-05-31,2.271746278774489,13.47,6.16,1.92,3.2211882605583497
