Date,SP500_Returns,VIX,Treasury_10Y,Yield_Spread,SP500_Volatility
2000-11-27,0.5366009872832311,26.93,5.64,-0.22,1.339829545610064
2000-11-28,-0.9548029357613564,27.64,5.59,-0.2,1.3048273985925998
2000-11-29,0.4371028927711018,27.49,5.55,-0.14,1.1871710856937254
2000-11-30,-2.010544622981836,29.65,5.48,-0.13,1.2460886754920375
2000-12-01,0.0212958140821672,27.48,5.52,-0.1,1.2328303240316312
2000-12-04,0.7405541524307058,27.78,5.53,-0.06,1.2579765710429809
2000-12-05,3.892168841532939,24.99,5.43,-0.06,1.5726156355919716
2000-12-06,-1.821965029225081,25.07,5.32,-0.1,1.6136899850796302
2000-12-07,-0.5852864559811266,25.34,5.32,-0.13,1.5865977589686828
2000-12-08,1.960475223329916,22.41,5.35,-0.15,1.6558303597021102
2000-12-11,0.7526105317355203,23.51,5.37,-0.15,1.5696520960184608
2000-12-12,-0.6535210679640358,24.88,5.36,-0.18,1.5562336846499334
2000-12-13,-0.8160900128526438,23.63,5.29,-0.16,1.4728550288629108
2000-12-14,-1.401476235876764,24.86,5.23,-0.2,1.4951864897988638
2000-12-15,-2.146273716308178,26.55,5.2,-0.18,1.541710873299905
2000-12-18,0.8070697422759565,27.7,5.17,-0.16,1.558006118064629
2000-12-19,-1.295796209004041,27.17,5.19,-0.16,1.5318516488142022
2000-12-20,-3.129594524787349,31.74,5.08,-0.16,1.6662781720549966
2000-12-21,0.800164080785648,29.66,5.03,-0.11,1.641698369532823
2000-12-22,2.438696498246351,27.55,5.02,-0.08,1.70577839116122
2000-12-26,0.7075301948657131,28.73,5.04,-0.06,1.7096726074087245
2000-12-27,1.0439634692143152,28.14,5.11,0.01,1.7162741752640769
2000-12-28,0.398814569917838,26.57,5.13,-0.05,1.7157670269378418
2000-12-29,-1.0448008358699412,26.85,5.12,0.01,1.6696148585361104
2001-01-02,-2.803193939495918,29.99,4.92,0.05,1.7860872486724684
2001-01-03,5.009860597069338,26.6,5.14,0.22,2.1172402698178256
2001-01-04,-1.0552474216456775,26.97,5.03,0.26,1.9325155182212832
2001-01-05,-2.6242362136687403,28.67,4.93,0.37,1.977042142206518
2001-01-08,-0.1917811284473769,29.84,4.94,0.4,1.9747722859180576
2001-01-09,0.3812189227544005,27.99,4.98,0.34,1.916134031185182
2001-01-10,0.9586385482041716,26.8,5.1,0.34,1.9223014465077808
2001-01-11,1.0317700515731554,25.79,5.14,0.37,1.939655464729284
2001-01-12,-0.6232870921233369,24.56,5.25,0.35,1.936629387887208
2001-01-16,0.6143093008214917,25.28,5.24,0.35,1.919732974738572
2001-01-17,0.2125614319653079,24.93,5.19,0.35,1.8546237344045344
2001-01-18,1.3915319945297933,23.37,5.12,0.4,1.8711833863730645
2001-01-19,-0.4028228935836542,23.24,5.19,0.44,1.8463361464859684
2001-01-22,0.0268137516266531,23.25,5.25,0.5,1.6779602570746968
2001-01-23,1.3031498757798854,21.57,5.3,0.48,1.6893684857294446
2001-01-24,0.286682177600106,22.03,5.33,0.52,1.6154908686820304
2001-01-25,-0.4976939690306659,22.64,5.29,0.51,1.6192569383063142
2001-01-26,-0.1885848778523602,22.57,5.29,0.51,1.6076901188898256
2001-01-29,0.6804747854681326,22.61,5.32,0.55,1.6115896512486836
2001-01-30,0.7007877475295743,22.57,5.24,0.54,1.592151682462841
2001-01-31,-0.5619714800495723,22.02,5.19,0.57,1.440522318550265
2001-02-01,0.5461131971338906,21.66,5.1,0.55,0.9321835818223988
2001-02-02,-1.7473989611664795,21.95,5.17,0.52,0.988456797124089
2001-02-05,0.3586658462731984,22.19,5.18,0.5,0.7599987540786947
2001-02-06,-0.1513721924397137,21.98,5.22,0.5,0.7589162707180395
2001-02-07,-0.8408142690811471,21.67,5.1,0.4,0.7933262583658381
2001-02-08,-0.623465404338508,21.46,5.1,0.37,0.7878217194371446
2001-02-09,-1.3335549023706816,22.03,5.03,0.36,0.8138644734145711
2001-02-12,1.182729069383326,21.92,5.05,0.38,0.8456046650427692
2001-02-13,-0.8652125638884511,21.37,5.07,0.32,0.8580617201105223
2001-02-14,-0.2183807079300326,21.52,5.13,0.29,0.8571616530417341
2001-02-15,0.8123549341341407,20.27,5.19,0.3,0.8147104939262854
2001-02-16,-1.890529720989631,22.12,5.11,0.36,0.9085657692793906
2001-02-20,-1.7356562954470411,24.69,5.11,0.38,0.9735538086637494
2001-02-21,-1.8507453797223627,25.75,5.14,0.46,0.9659823906765994
2001-02-22,-0.195182964945062,26.76,5.15,0.52,0.9539704742206117
2001-02-23,-0.5555435925262753,27.21,5.1,0.57,0.954302985732544
2001-02-26,1.7489958196507338,25.43,5.05,0.59,1.070696862693378
2001-02-27,-0.765990835073016,26.49,4.96,0.52,1.0476685999357298
2001-02-28,-1.4309109209043602,28.35,4.92,0.51,1.038251685456741
2001-03-01,0.1040404473975575,28.08,4.87,0.46,1.0470022585530283
2001-03-02,-0.5679790908007298,27.43,4.95,0.47,1.0192189226900967
2001-03-05,0.5858124547557519,27.12,4.98,0.49,1.005777423091622
2001-03-06,0.998059811609675,25.89,4.99,0.5,1.0410928893777922
2001-03-07,0.6452357238200701,24.12,4.92,0.49,1.0652450187537357
2001-03-08,0.2258497612988463,24.29,4.89,0.46,1.0655447472062105
2001-03-09,-2.4763940834399034,25.62,4.95,0.48,1.1716550587758954
2001-03-12,-4.318075583988678,30.32,4.92,0.46,1.4553280134123523
2001-03-13,1.4828497401341068,27.55,4.95,0.49,1.47531009792702
2001-03-14,-2.584211909800105,29.61,4.84,0.52,1.5453002157674534
2001-03-15,0.5871294396720295,28.56,4.81,0.59,1.5661082803807929
2001-03-16,-1.9624073883761304,29.91,4.78,0.52,1.5611219454019447
2001-03-19,1.7626684032983286,29.78,4.82,0.5,1.6265691111913656
2001-03-20,-2.4077401171648027,30.96,4.78,0.54,1.659716650340137
2001-03-21,-1.7923702154931664,31.93,4.77,0.56,1.6573560751004397
2001-03-22,-0.406371623346724,32.84,4.73,0.56,1.655676495249389
2001-03-23,1.9909090065061363,30.45,4.8,0.56,1.7509159305106774
2001-03-26,1.1282371798750468,29.04,4.85,0.58,1.715416539224142
2001-03-27,2.557504969905233,27.04,5.0,0.59,1.840629189129573
2001-03-28,-2.442965378011941,28.58,4.97,0.67,1.886863999254276
2001-03-29,-0.463030782349072,29.17,4.98,0.71,1.8840274528477328
2001-03-30,1.0784446543313564,28.64,4.93,0.75,1.9108323119946968
2001-04-02,-1.2461938832180277,31.21,4.98,0.76,1.910521816918014
2001-04-03,-3.4393111214729988,34.72,4.94,0.79,1.9974796920198843
2001-04-04,-0.2901108987965695,34.07,4.94,0.82,1.977541633618658
2001-04-05,4.367998314638566,29.94,4.98,0.79,2.2695296223762056
2001-04-06,-1.9983576101425315,31.69,4.89,0.82,2.2494232222769592
2001-04-09,0.8117394675240863,31.91,4.93,0.83,2.0665541279223687
2001-04-10,2.706602553433868,29.44,5.09,0.85,2.134847168900746
2001-04-11,-0.2131147592366322,28.46,5.12,0.83,2.054061153864437
2001-04-12,1.5104328135851386,26.12,5.17,0.81,2.0778004361326805
2001-04-16,-0.322766902328897,26.33,5.28,0.79,2.0253807656049823
2001-04-17,1.0282453148762638,25.61,5.21,0.8,2.0010116846046797
2001-04-18,3.889040476854766,24.13,5.14,0.88,2.078247632284819
2001-04-19,1.254273017853591,24.16,5.27,0.98,2.01812648895776
2001-04-20,-0.8542750949638078,25.38,5.29,1.03,2.032027974645364
2001-04-23,-1.4980124708175555,28.16,5.2,1.05,2.051722257102757
2001-04-24,-1.2161467890639988,28.49,5.22,1.06,2.073471388029582
2001-04-25,1.5940891269641488,27.4,5.28,1.08,2.0280035682799094
