Date,SP500_Returns,VIX,Treasury_10Y,Yield_Spread,SP500_Volatility
2000-12-01,-1.977987186788677,27.838,5.52,-0.1,1.2621494058840117
2000-12-08,4.155929760680066,25.118,5.35,-0.15,1.5373420620770752
2000-12-15,-4.214936207794251,24.686,5.2,-0.18,1.5271276345260147
2000-12-22,-0.4725125272894148,28.764,5.02,-0.08,1.620722539925574
2000-12-29,1.0972915242380532,27.5725,5.12,0.01,1.7028321670366884
2001-01-05,-1.6610153319229215,28.0575,4.93,0.37,1.953221294729524
2001-01-12,1.555826519969794,26.996,5.25,0.35,1.9378985232455024
2001-01-19,1.819422042848995,24.205,5.19,0.44,1.872969060500535
2001-01-26,0.9243606706911268,22.412,5.29,0.51,1.6419533337364622
2001-02-02,-0.4044415414761637,22.162,5.17,0.52,1.3129808062416557
2001-02-09,-2.572118067911866,21.866000000000003,5.03,0.36,0.7827854952028577
2001-02-16,-1.006265810526774,21.44,5.11,0.36,0.8568208602801404
2001-02-23,-4.277276950374098,26.1025,5.1,0.57,0.961952414823376
2001-03-02,-0.9374995407151698,27.156,4.95,0.47,1.0445676658657947
2001-03-09,-0.0615801368155199,25.408,4.95,0.48,1.0698630274410512
2001-03-16,-6.72033951899299,29.19,4.78,0.52,1.5206337105779126
2001-03-23,-0.9300125133393178,31.192,4.8,0.56,1.6700468524784018
2001-03-30,1.7985138828038094,28.494,4.93,0.75,1.8475538984900843
2001-04-06,-2.749209582782375,32.326,4.89,0.82,2.080899197441944
2001-04-13,4.880226834437851,28.9825,5.17,0.81,2.083315721705058
2001-04-20,5.025769367870714,25.122,5.29,1.03,2.030958909219521
2001-04-27,0.8101553136501405,26.806,5.34,1.06,2.00360568501227
2001-05-04,1.0821544228116764,24.72,5.21,1.07,1.7501831987523402
2001-05-11,-1.6532272481996846,24.238,5.51,1.15,1.3559559986186618
2001-05-18,3.716065680248448,22.512,5.41,1.04,1.202791672573463
2001-05-25,-1.0890388800325337,21.072,5.52,1.21,1.061850077207255
2001-06-01,-1.3475315172458258,22.2825,5.39,1.17,1.0899164248007147
2001-06-08,0.3402886435503793,20.188,5.38,1.21,1.0685266116042136
2001-06-15,-4.000124679712103,21.756,5.27,1.26,1.0629385554909336
2001-06-22,0.9050026653499632,21.324,5.14,1.21,0.9203240398888252
2001-06-29,-0.0791586667034605,20.364,5.42,1.17,0.8804843557296497
2001-07-06,-2.7597673049009064,19.85,5.41,1.25,0.884600828586982
2001-07-13,2.1073659791293498,22.594,5.27,1.15,1.0363719120842638
2001-07-20,-0.3973149111277996,22.794,5.15,1.17,1.1127975693339027
2001-07-27,-0.4154130898372354,23.598,5.13,1.26,1.2043233845496228
2001-08-03,0.7074048926729359,20.97,5.2,1.29,1.179008428160154
2001-08-10,-1.9920074025264525,21.504,4.99,1.26,1.0284518494349002
2001-08-17,-2.368594362689413,21.438,4.84,1.17,0.9182866170328308
2001-08-24,1.9759618223110345,22.33,4.93,1.17,0.8617406827807992
2001-08-31,-4.333597371037468,23.184,4.85,1.21,0.9639171859825634
2001-09-07,-4.2167230024228175,27.95,4.8,1.27,1.020354662858115
2001-09-14,0.6225947782446006,31.84,4.84,1.31,1.08161950327115
2001-09-21,-11.600494877815724,41.518,4.7,1.79,1.5051127491630267
