train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch
0.9074378609657288,0,49,,,,,,
,0,93,0.4819561839103699,1.7152397632598877,0.7212104797363281,0.9750357866287231,2850.930419921875,
,0,93,,,,,,0.9349380135536194
0.429237425327301,1,99,,,,,,
0.5005398988723755,1,149,,,,,,
,1,187,0.44606274366378784,1.8535759449005127,0.7100245356559753,0.9644747972488403,1265.57958984375,
,1,187,,,,,,0.46930649876594543
0.47307389974594116,2,199,,,,,,
0.5187413096427917,2,249,,,,,,
,2,281,0.43275412917137146,1.5045212507247925,0.7143521308898926,0.9664584398269653,10616.505859375,
,2,281,,,,,,0.4494725465774536
0.3611568808555603,3,299,,,,,,
0.45151275396347046,3,349,,,,,,
,3,375,0.4216630458831787,1.8043301105499268,0.7093241214752197,0.9634675979614258,642.9027099609375,
,3,375,,,,,,0.43948233127593994
0.4327253997325897,4,399,,,,,,
0.3693694472312927,4,449,,,,,,
,4,469,0.4154299795627594,1.6904233694076538,0.7086292505264282,0.9628269076347351,3383.78857421875,
,4,469,,,,,,0.43317893147468567
0.516735315322876,5,499,,,,,,
0.37214529514312744,5,549,,,,,,
,5,563,0.4121459424495697,1.6214643716812134,0.7073908448219299,0.9614669680595398,4447.4970703125,
,5,563,,,,,,0.4303966164588928
0.400059312582016,6,599,,,,,,
0.4578588306903839,6,649,,,,,,
,6,657,0.40991464257240295,1.8533439636230469,0.7084337472915649,0.9632293581962585,338.8406066894531,
,6,657,,,,,,0.4276578426361084
0.327402800321579,7,699,,,,,,
0.49644744396209717,7,749,,,,,,
,7,751,0.408835232257843,1.5488994121551514,0.7093130946159363,0.9627083539962769,7726.4091796875,
,7,751,,,,,,0.42627695202827454
0.3470655381679535,8,799,,,,,,
,8,845,0.40483418107032776,1.5959360599517822,0.7066546678543091,0.9611741304397583,4986.6220703125,
,8,845,,,,,,0.42527756094932556
0.38882914185523987,9,849,,,,,,
0.4650672674179077,9,899,,,,,,
