train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch
0.720717191696167,0,49,,,,,,
,0,93,0.5051249265670776,1.487451195716858,0.7161102294921875,0.9685813188552856,10599.2392578125,
,0,93,,,,,,0.7236914038658142
0.7016935348510742,1,99,,,,,,
0.4236574172973633,1,149,,,,,,
,1,187,0.4509058892726898,1.809207558631897,0.7090551257133484,0.9636337161064148,945.8342895507812,
,1,187,,,,,,0.49483031034469604
0.4312170147895813,2,199,,,,,,
0.3630523085594177,2,249,,,,,,
,2,281,0.44705405831336975,1.6357500553131104,0.7078284025192261,0.9621097445487976,4556.2236328125,
,2,281,,,,,,0.458283394575119
0.44532740116119385,3,299,,,,,,
0.44262829422950745,3,349,,,,,,
,3,375,0.44268879294395447,1.8116096258163452,0.7099815011024475,0.9646304249763489,2500.54736328125,
,3,375,,,,,,0.4530777931213379
0.45098936557769775,4,399,,,,,,
0.52153480052948,4,449,,,,,,
,4,469,0.428813636302948,1.7420934438705444,0.7087807059288025,0.9633693695068359,3778.76416015625,
,4,469,,,,,,0.4466931223869324
0.4482772946357727,5,499,,,,,,
0.38910990953445435,5,549,,,,,,
,5,563,0.4250592291355133,1.6935412883758545,0.7091602087020874,0.9633463621139526,4925.0107421875,
,5,563,,,,,,0.43953415751457214
0.4655270576477051,6,599,,,,,,
0.42806416749954224,6,649,,,,,,
,6,657,0.42127060890197754,1.7148053646087646,0.7082470059394836,0.9628971219062805,3767.208984375,
,6,657,,,,,,0.4364403188228607
0.38957178592681885,7,699,,,,,,
0.39133164286613464,7,749,,,,,,
,7,751,0.4207434058189392,1.575929045677185,0.7087385654449463,0.9626314043998718,7268.8515625,
,7,751,,,,,,0.43444329500198364
0.43245363235473633,8,799,,,,,,
,8,845,0.4191265106201172,1.63944411277771,0.7100940346717834,0.9635733366012573,5856.21923828125,
,8,845,,,,,,0.4307559132575989
0.43067023158073425,9,849,,,,,,
0.3330749571323395,9,899,,,,,,
,9,939,0.4144250750541687,1.5616222620010376,0.7113500833511353,0.9641062021255493,8597.830078125,
,9,939,,,,,,0.42954307794570923
0.4471656382083893,10,949,,,,,,
0.4265674948692322,10,999,,,,,,
,10,1033,0.4120713770389557,1.5909689664840698,0.7101016640663147,0.9633808135986328,7030.05078125,
,10,1033,,,,,,0.4280792474746704
0.5115625262260437,11,1049,,,,,,
0.4774678349494934,11,1099,,,,,,
,11,1127,0.40921616554260254,1.6508983373641968,0.7084032297134399,0.962527871131897,4683.5830078125,
,11,1127,,,,,,0.42646074295043945
0.43142470717430115,12,1149,,,,,,
0.42864006757736206,12,1199,,,,,,
,12,1221,0.4069024920463562,1.5982826948165894,0.7101894617080688,0.963536262512207,7310.17822265625,
