train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch
0.5406487584114075,0,49,,,,,,
,0,93,0.13702630996704102,0.03675631806254387,0.006287068128585815,0.006287068128585815,0.037444476038217545,
,0,93,,,,,,0.6329951286315918
0.44491079449653625,1,99,,,,,,
0.3938189148902893,1,149,,,,,,
,1,187,0.17764323949813843,0.6541473269462585,0.08276389539241791,0.08276389539241791,0.49292463064193726,
,1,187,,,,,,0.4694160223007202
0.549059271812439,2,199,,,,,,
0.5025153160095215,2,249,,,,,,
,2,281,0.19878140091896057,0.3118930757045746,0.04530314356088638,0.04530314356088638,0.26981616020202637,
,2,281,,,,,,0.45192426443099976
0.415351003408432,3,299,,,,,,
0.4982292056083679,3,349,,,,,,
,3,375,0.22101469337940216,0.33249878883361816,0.04786951094865799,0.04786951094865799,0.28510090708732605,
,3,375,,,,,,0.44513389468193054
0.3970666527748108,4,399,,,,,,
0.4228486120700836,4,449,,,,,,
,4,469,0.23121604323387146,1.666707158088684,0.15264178812503815,0.15264178812503815,0.9091029167175293,
,4,469,,,,,,0.43984028697013855
0.299984872341156,5,499,,,,,,
0.4020352363586426,5,549,,,,,,
,5,563,0.22473526000976562,0.48437386751174927,0.06547177582979202,0.06547177582979202,0.3899363577365875,
,5,563,,,,,,0.4352644979953766
0.48915305733680725,6,599,,,,,,
0.3562157154083252,6,649,,,,,,
,6,657,0.22249837219715118,0.6797503232955933,0.08518153429031372,0.08518153429031372,0.5073236227035522,
,6,657,,,,,,0.43266552686691284
0.49355027079582214,7,699,,,,,,
0.5183107852935791,7,749,,,,,,
,7,751,0.21166196465492249,0.32219210267066956,0.04659154266119003,0.04659154266119003,0.277489572763443,
,7,751,,,,,,0.4300313889980316
0.5157835483551025,8,799,,,,,,
,8,845,0.21224209666252136,0.261706680059433,0.03885696828365326,0.03885696828365326,0.23142406344413757,
,8,845,,,,,,0.4293772876262665
0.5210496187210083,9,849,,,,,,
0.38122767210006714,9,899,,,,,,
,9,939,0.20762749016284943,0.11613112688064575,0.018428772687911987,0.018428772687911987,0.10975795984268188,
,9,939,,,,,,0.42846283316612244
0.3763378858566284,10,949,,,,,,
0.3396376967430115,10,999,,,,,,
,10,1033,0.20175138115882874,0.3007276654243469,0.04389332979917526,0.04389332979917526,0.2614195942878723,
,10,1033,,,,,,0.42831480503082275
