experiment_name,phase,group,hidden_size,dropout,learning_rate,best_val_loss,total_epochs,early_stopped,test_mse,test_rmse,test_r2,dir_acc,sharpe_ratio,auc_roc,alpha,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,pred_std,num_unique,pct_positive,pct_negative,composite_score,evaluated
learn2r_d010_lb0,05a_regime_output,other,16,0.1,0.0005,0.39471742510795593,90,True,1.1750978231430054,1.0840193033218384,-9.584426879882812e-05,0.5374414976599063,0.8380294796085687,0.5041791388159392,0.0,2.3400936037441498,0.0,95.3978159126365,2.2620904836193447,0.0,97.65990639625585,True,False,False,True,0.050593843919577705,1277,100.0,0.0,0.5416206364758456,True
learn2r_d010_lb0_mlp,05a_regime_output,other,16,0.1,0.0005,0.3955349028110504,86,True,1.1740989685058594,1.083558440208435,0.000754237174987793,0.5374414976599063,0.8380294796085687,0.47783404352178416,0.0,2.3400936037441498,0.0,96.48985959438377,1.1700468018720749,0.0,97.65990639625585,True,False,False,True,0.030111689007035713,1266,100.0,0.0,0.5152755411816905,True
learn2r_d010_lb1,05a_regime_output,other,16,0.1,0.0005,0.39188820123672485,100,False,1.192025899887085,1.0917993783950806,-0.014502882957458496,0.5288611544461779,0.7786734628683619,0.4561269968696231,-0.10491275787353516,19.422776911076443,7.644305772230889,70.82683307332293,2.1060842433697347,0.0,80.57722308892356,True,False,True,True,0.08657579377031441,1279,97.11388455538221,2.886115444617785,0.484988151315801,True
learn2r_d010_lb1_mlp,05a_regime_output,other,16,0.1,0.0005,0.3962683379650116,70,True,1.1740479469299316,1.0835349559783936,0.0007977485656738281,0.5374414976599063,0.8380294796085687,0.4712551122554622,0.0,2.3400936037441498,0.0,94.38377535101404,3.2761310452418098,0.0,97.65990639625585,True,False,False,True,0.02737960012798431,1277,100.0,0.0,0.5086966099153685,True
learn2r_d010_lb2,05a_regime_output,other,16,0.1,0.0005,0.39163392782211304,100,False,1.1887500286102295,1.0902981758117676,-0.011714935302734375,0.5288611544461779,0.8220041398386954,0.46220663424519737,-0.04219257831573486,24.726989079563182,9.282371294851794,65.83463338533542,0.15600624024961,0.0,75.27301092043683,True,False,True,True,0.07954333842444734,1280,95.86583463338533,4.134165366614664,0.49106778869137524,True
learn2r_d010_lb2_mlp,05a_regime_output,other,16,0.1,0.0005,0.3967580795288086,56,True,1.1738533973693848,1.0834451913833618,0.0009633302688598633,0.5374414976599063,0.8380294796085687,0.4646174405314053,0.0,2.3400936037441498,0.0,93.21372854914196,3.1201248049921997,1.326053042121685,97.65990639625585,True,True,False,True,0.02692698651816344,1270,100.0,0.0,0.5020589381913116,True
learn2r_d025_lb0,05a_regime_output,other,16,0.25,0.0005,0.39616549015045166,87,True,1.1765146255493164,1.0846725702285767,-0.0013016462326049805,0.5374414976599063,0.8380294796085687,0.46149685371423255,0.0,2.3400936037441498,0.0,91.88767550702028,1.87207488299532,3.9001560062402496,97.65990639625585,True,True,False,True,0.0433906231303413,1274,100.0,0.0,0.4989383513741389,True
learn2r_d025_lb0_mlp,05a_regime_output,other,16,0.25,0.0005,0.39970704913139343,56,True,1.1718766689300537,1.082532525062561,0.0026456713676452637,0.5374414976599063,0.8380294796085687,0.489075498620823,0.0,2.3400936037441498,0.0,84.71138845553821,12.948517940717629,0.0,97.65990639625585,True,False,False,True,0.024186224849555495,1263,100.0,0.0,0.5265169962807293,True
learn2r_d025_lb1,05a_regime_output,other,16,0.25,0.0005,0.3945274353027344,88,True,1.1782718896865845,1.0854823589324951,-0.002797245979309082,0.5374414976599063,0.8380294796085687,0.4694561857373273,0.0,2.3400936037441498,0.0,82.91731669266771,2.02808112324493,12.714508580343214,97.65990639625585,True,True,False,True,0.04878876071814505,1269,100.0,0.0,0.5068976833972336,True
learn2r_d025_lb1_mlp,05a_regime_output,other,16,0.25,0.0005,0.39977192878723145,56,True,1.170998215675354,1.0821267366409302,0.003393232822418213,0.5374414976599063,0.8380294796085687,0.48235461124830814,0.0,2.3400936037441498,0.0,94.22776911076443,3.0421216848673946,0.39001560062402496,97.65990639625585,True,True,False,True,0.02329116313604507,1262,100.0,0.0,0.5197961089082145,True
