phase,experiment,frequency,hidden_size,dropout,attention_heads,hidden_continuous,learning_rate,batch_size,max_epochs,encoder_length,gradient_clip,early_stop_patience,has_staleness
00_baseline_exploration,exp001_baseline,daily,32,0.15,2,16,0.001,64,50,20,0.1,10,False
00_baseline_exploration,exp002_small,daily,16,0.15,2,16,0.001,64,50,20,0.1,10,False
00_baseline_exploration,exp003_large,daily,64,0.15,2,16,0.001,64,50,20,0.1,10,False
00_baseline_exploration,exp004_attn1,daily,32,0.15,1,16,0.001,64,50,20,0.1,10,False
00_baseline_exploration,exp005_attn4,daily,32,0.15,4,16,0.001,64,50,20,0.1,10,False
00_baseline_exploration,exp006_monthly,monthly,32,0.15,2,16,0.001,64,50,12,0.1,10,False
00_baseline_exploration,sweep2_combo1,daily,12,0.2,2,16,0.0004,64,75,40,0.1,10,False
00_baseline_exploration,sweep2_combo2,daily,10,0.15,2,16,0.0005,64,75,30,0.1,10,False
00_baseline_exploration,sweep2_combo3,daily,18,0.25,2,16,0.0003,64,75,30,0.1,10,False
00_baseline_exploration,sweep2_h16_drop_0.05,daily,16,0.05,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_h16_drop_0.1,daily,16,0.1,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_h16_drop_0.15,daily,16,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_h16_drop_0.2,daily,16,0.2,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_h16_drop_0.25,daily,16,0.25,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_h16_drop_0.3,daily,16,0.3,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_h16_enc_15,daily,16,0.15,2,16,0.0005,64,50,15,0.1,10,False
00_baseline_exploration,sweep2_h16_enc_20,daily,16,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_h16_enc_30,daily,16,0.15,2,16,0.0005,64,50,30,0.1,10,False
00_baseline_exploration,sweep2_h16_enc_40,daily,16,0.15,2,16,0.0005,64,50,40,0.1,10,False
00_baseline_exploration,sweep2_h16_enc_50,daily,16,0.15,2,16,0.0005,64,50,50,0.1,10,False
00_baseline_exploration,sweep2_h16_enc_60,daily,16,0.15,2,16,0.0005,64,50,60,0.1,10,False
00_baseline_exploration,sweep2_h16_lr_0.0002,daily,16,0.15,2,16,0.0002,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_h16_lr_0.0003,daily,16,0.15,2,16,0.0003,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_h16_lr_0.0004,daily,16,0.15,2,16,0.0004,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_h16_lr_0.0005,daily,16,0.15,2,16,0.0005,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_h16_lr_0.0006,daily,16,0.15,2,16,0.0006,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_h16_lr_0.0007,daily,16,0.15,2,16,0.0007,64,50,20,0.1,10,False
00_baseline_exploration,sweep2_h16_lr_0.0008,daily,16,0.15,2,16,0.0008,64,50,20,0.1,10,False
