name,routing,vix_th,frozen,dirw,dir_acc,sharpe,alpha,auc_roc,mse,rmse,healthy%,degrad%,unidir%,collapse,e0_mean,e1_mean,e0_std,e1_std,dom_reg%,vix_corr,reg_ent,pred_std,pct_pos,pct_neg
frozen_learned,learned,25.0000,True,0.0000,0.5374,0.8380,0.0000,0.4785,1.1705,1.0819,2.3401,0.0000,69.0328,True,-0.3277,0.7681,0.0458,0.0197,75.6250,-0.8655,0.9973,0.0266,100.0000,0.0000
frozen_learned_dirw1,learned,25.0000,True,1.0000,0.5374,0.8380,0.0000,0.4785,1.1705,1.0819,2.3401,0.0000,69.0328,True,-0.3277,0.7681,0.0458,0.0197,75.6250,-0.8655,0.9973,0.0266,100.0000,0.0000
frozen_vix18,vix_threshold,18.0000,True,0.0000,0.5109,0.6679,-0.2942,0.4712,1.2153,1.1024,34.0094,13.2605,52.5741,True,-0.2425,0.7642,0.0451,0.0186,82.3438,0.8290,0.0000,0.0572,85.1014,14.8986
frozen_vix18_dirw1,vix_threshold,18.0000,True,1.0000,0.5109,0.6679,-0.2942,0.4712,1.2153,1.1024,34.0094,13.2605,52.5741,True,-0.2425,0.7642,0.0451,0.0186,82.3438,0.8290,0.0000,0.0572,85.1014,14.8986
frozen_vix18_mlp_32,vix_threshold,18.0000,True,0.0000,0.5125,0.6489,-0.3093,0.4699,1.2010,1.0959,27.6131,13.3385,59.0484,False,-0.0261,-0.0500,0.0522,0.0089,82.3438,0.8290,0.0000,0.0768,82.7613,17.2387
frozen_vix18_mlp_8,vix_threshold,18.0000,True,0.0000,0.4969,0.5753,-0.4173,0.4698,1.2050,1.0977,41.0296,14.8206,44.1498,False,-0.0027,-0.3219,0.0252,0.0215,82.3438,0.8290,0.0000,0.1052,73.1669,26.8331
unfrozen_vix18,vix_threshold,18.0000,False,0.0000,0.4852,0.3405,-0.7140,0.4771,1.1870,1.0895,44.1498,32.1373,20.5928,True,-0.1469,-0.0574,0.0249,0.0696,82.3438,0.8290,0.0000,0.0765,76.8331,23.1669
unfrozen_vix18_dirw1,vix_threshold,18.0000,False,1.0000,0.4852,0.3405,-0.7140,0.4771,1.1870,1.0895,44.1498,32.1373,20.5928,True,-0.1469,-0.0574,0.0249,0.0696,82.3438,0.8290,0.0000,0.0765,76.8331,23.1669
unfrozen_vix18_mlp_32,vix_threshold,18.0000,False,0.0000,0.5016,0.6240,-0.3705,0.4754,1.1830,1.0877,32.0593,6.0062,58.5803,True,0.0529,-0.2125,0.0074,0.0066,82.3438,0.8290,0.0000,0.0574,73.0889,26.9111
unfrozen_vix18_mlp_8,vix_threshold,18.0000,False,0.0000,0.5374,0.8380,0.0000,0.4791,1.1749,1.0839,2.2621,0.0780,79.4852,True,0.2899,-0.2367,0.0071,0.0047,82.3438,0.8290,0.0000,0.0982,73.0889,26.9111
