experiment_name_attention,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep,phase_prefix,exp_name_only,experiment_name_collapse,phase,dir_acc,sharpe_ratio,test_rmse,test_mae,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,pred_std,composite_score,collapsed,collapse_type
00_baseline_exploration/sweep_lr_0.001,yearly,6,2.373480280240377,0.24214230787477653,2.1165645122528076,2.7789032459259033,0.06057569322486719,0.08617298262459895,0,00_baseline_exploration,sweep_lr_0.001,sweep_lr_0.001,00_baseline_exploration,0.5265625,0.7697217541762329,1.0848512649536133,0.7738154530525208,False,False,True,True,30.234375000000004,7.03125,62.734375,0.0,0.0,69.765625,0.0678791847740436,0.5284538034406749,False,
00_baseline_exploration/sweep2_h16_lr_0.0005,yearly,6,2.8438319762547812,0.11271542459971141,2.619776964187622,2.9635798931121826,0.05098722564677397,0.02636596815926694,19,00_baseline_exploration,sweep2_h16_lr_0.0005,sweep2_h16_lr_0.0005,00_baseline_exploration,0.5453125,1.006013640397486,1.0836728811264038,0.7719882726669312,True,False,True,True,45.3125,16.015625,35.9375,2.734375,0.0,54.6875,0.0479463752935199,0.576318339598813,True,
00_baseline_exploration/sweep2_h16_lr_0.0007,yearly,6,2.806462605794271,0.12805842211563115,2.554847240447998,2.943819522857666,0.050813731426994004,0.03104813439505445,19,00_baseline_exploration,sweep2_h16_lr_0.0007,sweep2_h16_lr_0.0007,00_baseline_exploration,0.5328125,0.8752693257994593,1.08272123336792,0.7709378004074097,False,False,True,True,35.546875,7.968749999999999,56.484375,0.0,0.0,64.453125,0.059277346138743,0.5606174834188777,False,
00_baseline_exploration/sweep2_h16_drop_0.2,yearly,6,2.8496049642562866,0.10270746228443968,2.6530773639678955,2.9673221111297607,0.050534564380844436,0.025287457874842996,19,00_baseline_exploration,sweep2_h16_drop_0.2,sweep2_h16_drop_0.2,00_baseline_exploration,0.5390625,0.9905456091306029,1.0832008123397827,0.7720001935958862,True,False,True,True,37.265625,8.125,51.40625,3.203125,0.0,62.734375,0.0382636561210578,0.5575128339543584,True,
00_baseline_exploration/sweep2_h16_enc_40,yearly,6,3.563712159792582,0.10840761400680506,3.337214708328247,3.663694143295288,0.025245916098356247,0.005241591589791301,39,00_baseline_exploration,sweep2_h16_enc_40,sweep2_h16_enc_40,00_baseline_exploration,0.5333333333333333,0.9159910491167348,1.0782365798950195,0.7685431838035583,True,True,True,True,24.20634920634921,1.6666666666666667,70.23809523809523,2.4603174603174605,1.4285714285714286,75.79365079365078,0.0356498529288664,0.5507551743112452,True,
00_baseline_exploration/sweep2_hidden_20,yearly,6,2.8015617529551187,0.15657777171667955,2.49796462059021,2.9470598697662354,0.0656686828782161,0.048311560494559126,19,00_baseline_exploration,sweep2_hidden_20,sweep2_hidden_20,00_baseline_exploration,0.534375,0.7947284303504591,1.0837730169296265,0.7719663977622986,True,True,True,True,6.484375000000001,0.546875,89.140625,3.125,0.703125,93.515625,0.047730267790867,0.54545649173644,True,
00_baseline_exploration/sweep2_h16_enc_30,yearly,6,3.268601338068644,0.10663863862765417,3.046628952026367,3.374612331390381,0.033781648303071656,0.014217785426548349,29,00_baseline_exploration,sweep2_h16_enc_30,sweep2_h16_enc_30,00_baseline_exploration,0.5299212598425197,0.8337530357328016,1.0856784582138062,0.774669349193573,False,False,True,True,60.39370078740157,13.77952755905512,25.826771653543307,0.0,0.0,39.60629921259843,0.0607940769577608,0.5480017454775609,False,
00_baseline_exploration/sweep2_h16_enc_15,yearly,6,2.555727481842041,0.09426979500536523,2.3801064491271973,2.672995090484619,0.0675332359969616,0.0253255299159459,14,00_baseline_exploration,sweep2_h16_enc_15,sweep2_h16_enc_15,00_baseline_exploration,0.5346303501945525,0.967535639693957,1.0816150903701782,0.7701097726821899,True,True,True,True,42.023346303501945,11.828793774319063,42.72373540856031,3.268482490272374,0.1556420233463035,57.976653696498055,0.0432279945130199,0.5714322013698053,True,
00_baseline_exploration/sweep2_h16_drop_0.15,yearly,6,2.8438319762547812,0.11271542459971141,2.619776964187622,2.9635798931121826,0.05098722564677397,0.02636596815926694,19,00_baseline_exploration,sweep2_h16_drop_0.15,sweep2_h16_drop_0.15,00_baseline_exploration,0.5453125,1.006013640397486,1.0836728811264038,0.7719882726669312,True,False,True,True,45.3125,16.015625,35.9375,2.734375,0.0,54.6875,0.0479463752935199,0.576318339598813,True,
00_baseline_exploration/sweep_hidden_64,yearly,6,2.7162214517593384,0.1423099550249927,2.4845337867736816,2.9019315242767334,0.05413448934753736,0.03770905222211551,19,00_baseline_exploration,sweep_hidden_64,sweep_hidden_64,00_baseline_exploration,0.525,0.717083185458432,1.083909034729004,0.7741253972053528,True,False,True,True,31.406250000000004,9.921875,55.625,3.046875,0.0,68.59375,0.0544645746697037,0.5157202171869286,False,
