experiment,avg_entropy,std_entropy,min_entropy,max_entropy,entropy_range,avg_concentration,std_concentration,temporal_variance,top_timestep_diversity,mean_attention_pattern,phase
sweep_lr_0.001,2.373480280240377,0.24214230787477653,2.1165645122528076,2.7789032459259033,0.6623387336730957,0.06057569322486719,0.004939911332323251,4.602590550730382e-05,0.16666666666666666,"[0.13927916 0.07268135 0.05181717 0.04453056 0.04152694 0.04014086
 0.03979518 0.03981213 0.03989859 0.03997378 0.04015787 0.04051752
 0.04088813 0.04163449 0.04243223 0.04348674 0.04481602 0.04688563
 0.0507458  0.05897985]",Fixed Release
sweep2_h16_lr_0.0005,2.8438319762547812,0.11271542459971141,2.619776964187622,2.9635798931121826,0.34380292892456055,0.05098722564677397,0.0012470634192607772,1.7583664978240367e-05,0.16666666666666666,"[0.04116748 0.04292392 0.04382115 0.04448015 0.04535776 0.04643843
 0.04754319 0.04834779 0.0488657  0.04919286 0.04957898 0.04996733
 0.05041457 0.05104744 0.05190243 0.05304813 0.05459391 0.05675999
 0.05988723 0.0646616 ]",Fixed Release
sweep2_h16_lr_0.0007,2.806462605794271,0.12805842211563115,2.554847240447998,2.943819522857666,0.38897228240966797,0.050813731426994004,0.0010341881371925459,1.4553062173273572e-05,0.16666666666666666,"[0.04325533 0.04504363 0.04610338 0.04640053 0.04658419 0.04681184
 0.0471544  0.04752175 0.04790654 0.04823015 0.04865612 0.04905303
 0.04950539 0.05015148 0.05098839 0.05212389 0.05370911 0.05605833
 0.05955406 0.06518846]",Fixed Release
sweep2_h16_drop_0.2,2.8496049642562866,0.10270746228443968,2.6530773639678955,2.9673221111297607,0.31424474716186523,0.050534564380844436,0.0006236935412034413,8.535492138939019e-06,0.16666666666666666,"[0.04430976 0.04573117 0.04632245 0.04672919 0.04730429 0.04787093
 0.04826705 0.04838951 0.04842258 0.04844543 0.04863374 0.04890609
 0.04927028 0.0498541  0.05064831 0.05174244 0.05323496 0.05532124
 0.05820493 0.06239159]",Fixed Release
sweep2_h16_enc_40,3.563712159792582,0.10840761400680506,3.337214708328247,3.663694143295288,0.326479434967041,0.025245916098356247,0.00019504534974357804,1.489912011145505e-06,0.16666666666666666,"[0.02308388 0.02440418 0.02482031 0.02491688 0.02486196 0.02470442
 0.02453835 0.02427167 0.02404486 0.02385401 0.02367093 0.02351772
 0.02340099 0.02334782 0.02336522 0.02339165 0.02346036 0.02350542
 0.02356526 0.02360416 0.02365507 0.02378573 0.02388167 0.02401536
 0.02415274 0.02431078 0.02443894 0.02454155 0.02468499 0.02485997
 0.02510887 0.02538557 0.02568949 0.02614787 0.02672007 0.02759135
 0.02875395 0.03003417 0.03129001 0.03262179]",Fixed Release
sweep2_hidden_20,2.8015617529551187,0.15657777171667955,2.49796462059021,2.9470598697662354,0.4490952491760254,0.0656686828782161,0.019196356618814504,0.00034125699360070016,0.3333333333333333,"[0.02250615 0.02565876 0.02892364 0.03199397 0.03447478 0.03636971
 0.03793436 0.03938398 0.04087979 0.04254179 0.04449134 0.04686253
 0.04976774 0.05353033 0.05825434 0.06410698 0.07121576 0.0796537
 0.08972829 0.10172205]",Fixed Release
sweep2_h16_enc_30,3.268601338068644,0.10663863862765417,3.046628952026367,3.374612331390381,0.32798337936401367,0.033781648303071656,0.00041132462001729734,3.5150419591145426e-06,0.16666666666666666,"[0.02864041 0.03035868 0.03117043 0.03163361 0.03188009 0.03192861
 0.03191557 0.03183149 0.03175878 0.03164013 0.03153919 0.03155434
 0.0315691  0.03166893 0.03179123 0.0319062  0.03201741 0.03210683
 0.03224398 0.03245027 0.03276039 0.03310197 0.03352938 0.03413179
 0.034933   0.03612886 0.03772233 0.03970327 0.04192844 0.04445529]",Fixed Release
sweep2_h16_enc_15,2.555727481842041,0.09426979500536523,2.3801064491271973,2.672995090484619,0.2928886413574219,0.0675332359969616,0.0011768735419524382,2.445411215191223e-05,0.16666666666666666,"[0.06190939 0.06145465 0.06145196 0.06133173 0.06184439 0.06303053
 0.06433028 0.06524011 0.06599502 0.06677236 0.06784665 0.06937924
 0.07181037 0.07562704 0.08197624]",Fixed Release
sweep2_h16_drop_0.15,2.8438319762547812,0.11271542459971141,2.619776964187622,2.9635798931121826,0.34380292892456055,0.05098722564677397,0.0012470634192607772,1.7583664978240367e-05,0.16666666666666666,"[0.04116748 0.04292392 0.04382115 0.04448015 0.04535776 0.04643843
 0.04754319 0.04834779 0.0488657  0.04919286 0.04957898 0.04996733
 0.05041457 0.05104744 0.05190243 0.05304813 0.05459391 0.05675999
 0.05988723 0.0646616 ]",Fixed Release
sweep_hidden_64,2.7162214517593384,0.1423099550249927,2.4845337867736816,2.9019315242767334,0.41739773750305176,0.05413448934753736,0.0030685937291820005,4.8372786053179345e-05,0.16666666666666666,"[0.03332522 0.02693256 0.029274   0.03386327 0.03896737 0.04372198
 0.04750754 0.05006456 0.05148287 0.05214734 0.05256676 0.05290876
 0.05331526 0.05393251 0.05494034 0.05665292 0.05907893 0.06262534
 0.06831318 0.07837929]",Fixed Release
