experiment_name,period1,period2,cosine_similarity,l2_distance,entropy_change,concentration_change,top_timestep1,top_timestep2,top_timestep_delta,signal_cosine,signal_l2,signal_entropy,signal_top_timestep,n_signals_fired
06a_weekly_sweep/h16_enc8_d015_bs16,2022,2023,0.9971776997343403,0.02658245339989662,0.0289229154586792,-4.8667192459106445e-05,t-0,t-7,7,False,True,False,True,2
06a_weekly_sweep/h16_enc8_d030_bs32,2022,2023,0.9977670538220232,0.02366756461560726,0.12233209609985352,-0.0005547106266021729,t-0,t-7,7,False,False,True,True,2
06a_weekly_sweep/h8_enc12_d015_bs16,2020,2021,0.9732652820412644,0.06859756261110306,0.12915778160095215,-0.00568881630897522,t-5,t-8,3,False,True,True,False,2
06a_weekly_sweep/h8_enc12_d015_bs16,2021,2022,0.9824033301051208,0.05521177127957344,-0.10128092765808105,0.003872610628604889,t-8,t-0,8,False,True,True,True,3
06a_weekly_sweep/h8_enc12_d015_bs16,2022,2023,0.9935716782321738,0.033597297966480255,0.11424112319946289,-0.0029337331652641296,t-0,t-3,3,False,True,True,False,2
06a_weekly_sweep/h16_enc12_d025_bs16,2020,2021,0.9889287820088911,0.04341693967580795,0.12598729133605957,-0.0022036880254745483,t-0,t-0,0,False,True,True,False,2
06a_weekly_sweep/h16_enc12_d025_bs16,2021,2022,0.9941583876650028,0.03140195086598396,-0.2628171443939209,0.0012429580092430115,t-0,t-0,0,False,True,True,False,2
06a_weekly_sweep/h16_enc12_d025_bs16,2022,2023,0.9933872834242806,0.0334009975194931,0.2516794204711914,-0.0012148618698120117,t-0,t-0,0,False,True,True,False,2
06a_weekly_sweep/h16_enc12_d025_bs16,2024,2025,0.9946230544603972,0.030133437365293503,-0.10722994804382324,0.001234389841556549,t-0,t-0,0,False,True,True,False,2
06a_weekly_sweep/h16_enc12_d030_bs32,2020,2021,0.9799230659986136,0.05821223184466362,-0.025031566619873047,-0.0010787174105644226,t-5,t-11,6,False,True,False,True,2
06a_weekly_sweep/h16_enc12_d030_bs32,2021,2022,0.9884930638072467,0.04398534819483757,0.005710601806640625,0.000526130199432373,t-11,t-0,11,False,True,False,True,2
06a_weekly_sweep/h16_enc12_d030_bs32,2022,2023,0.981279933649381,0.05613028630614281,0.05150437355041504,-0.00030197203159332275,t-0,t-11,11,False,True,True,True,3
06a_weekly_sweep/h16_enc12_d030_bs32,2023,2024,0.9944776432974636,0.030420036986470222,0.011034011840820312,-0.0006272643804550171,t-11,t-0,11,False,True,False,True,2
06a_weekly_sweep/h16_enc12_d025_bs32,2020,2021,0.9675308646069031,0.07437221705913544,0.025580406188964844,-0.0021681487560272217,t-5,t-11,6,False,True,False,True,2
06a_weekly_sweep/h16_enc12_d025_bs32,2021,2022,0.9859955003418699,0.048560675233602524,-0.003499269485473633,0.0005479529500007629,t-11,t-0,11,False,True,False,True,2
06a_weekly_sweep/h16_enc12_d025_bs32,2022,2023,0.9737388953159419,0.06660926342010498,0.0727229118347168,7.922947406768799e-05,t-0,t-11,11,False,True,True,True,3
06a_weekly_sweep/h16_enc12_d025_bs32,2023,2024,0.9910607546817506,0.03878914564847946,0.00771331787109375,-0.0011565610766410828,t-11,t-0,11,False,True,False,True,2
06a_weekly_sweep/h16_enc12_d015_bs32,2020,2021,0.967352559847984,0.07543739676475525,0.20752978324890137,-0.005134761333465576,t-5,t-1,4,False,True,True,False,2
06a_weekly_sweep/h16_enc12_d015_bs32,2021,2022,0.9950460720383121,0.028857983648777008,-0.16113615036010742,0.0008079931139945984,t-1,t-0,1,False,True,True,False,2
06a_weekly_sweep/h16_enc12_d015_bs32,2022,2023,0.9817266700411361,0.05545589327812195,0.12999916076660156,-0.00023216009140014648,t-0,t-11,11,False,True,True,True,3
06a_weekly_sweep/h16_enc12_d015_bs32,2023,2024,0.993052557297299,0.034122534096241,0.03015923500061035,-0.0006336048245429993,t-11,t-0,11,False,True,False,True,2
06a_weekly_sweep/h16_enc12_d015_bs16,2020,2021,0.934052379635789,0.11072121560573578,0.18790364265441895,-0.012598738074302673,t-0,t-0,0,True,True,True,False,3
06a_weekly_sweep/h16_enc12_d015_bs16,2023,2024,0.9947150842664749,0.02975400537252426,0.011379718780517578,-0.00047866255044937134,t-0,t-9,9,False,True,False,True,2
06a_weekly_sweep/h16_enc12_d015_bs16,2024,2025,0.987296409512558,0.0463329553604126,-0.08513331413269043,0.0015350952744483948,t-9,t-0,9,False,True,True,True,3
06a_weekly_sweep/h8_enc12_d015_bs32,2020,2021,0.9675975398230879,0.07526103407144547,0.11339235305786133,-0.005476474761962891,t-5,t-8,3,False,True,True,False,2
06a_weekly_sweep/h8_enc12_d015_bs32,2021,2022,0.9854411673311873,0.049834493547677994,-0.07534360885620117,0.002550952136516571,t-8,t-0,8,False,True,True,True,3
06a_weekly_sweep/h8_enc12_d015_bs32,2022,2023,0.99446678576424,0.030857300385832787,0.1171414852142334,-0.002112284302711487,t-0,t-3,3,False,True,True,False,2
