experiment_name,period1,period2,cosine_similarity,l2_distance,entropy_change,concentration_change,top_timestep1,top_timestep2,top_timestep_delta,signal_cosine,signal_l2,signal_entropy,signal_top_timestep,n_signals_fired
01_staleness_features_fixed/baseline_fixed_h16_drop0.25,2020,2021,0.9996943290943366,0.0055302781984210014,0.003456592559814453,3.0469149351119995e-05,t-17,t-0,17,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h12_drop0.30_lr5,2022,2023,0.9997850143002679,0.004638355225324631,-0.052750587463378906,-4.1715800762176514e-05,t-0,t-0,0,False,False,True,False,1
01_staleness_features_fixed/sweep_stale_h22_drop0.35_lr5,2021,2022,0.9997436862169661,0.005076193250715733,0.019622087478637695,0.00011416897177696228,t-19,t-0,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h22_drop0.35_lr5,2022,2023,0.9995099115741107,0.007016150746494532,0.006737232208251953,-0.00013917312026023865,t-0,t-19,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h22_drop0.20_lr5,2020,2021,0.9995129225383036,0.006986438296735287,0.015773534774780273,6.105750799179077e-05,t-19,t-0,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h22_drop0.20_lr5,2022,2023,0.9991046528605634,0.009491955861449242,0.014022588729858398,-0.0002236291766166687,t-0,t-19,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h12_drop0.30_lr3,2022,2023,0.9997781005505522,0.004712682217359543,-0.052109479904174805,-4.4833868741989136e-05,t-0,t-0,0,False,False,True,False,1
01_staleness_features_fixed/sweep_stale_h22_drop0.35_lr3,2020,2021,0.9995307496860373,0.006855797488242388,0.014858484268188477,2.2202730178833008e-06,t-19,t-0,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h22_drop0.35_lr3,2022,2023,0.9994864179339575,0.007182357367128134,0.007209062576293945,-0.00014089792966842651,t-0,t-19,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h22_drop0.20_lr3,2020,2021,0.999519938977478,0.006934450473636389,0.015396595001220703,4.573166370391846e-05,t-19,t-0,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h22_drop0.20_lr3,2022,2023,0.9990938975508538,0.009546717628836632,0.013501644134521484,-0.0002154707908630371,t-0,t-19,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h12_drop0.35_lr3,2022,2023,0.9997713369340261,0.00478424271568656,-0.05884957313537598,-4.7866255044937134e-05,t-0,t-0,0,False,False,True,False,1
01_staleness_features_fixed/sweep_stale_h22_drop0.30_lr3,2020,2021,0.9995148038637817,0.006971834227442741,0.01628398895263672,4.303455352783203e-05,t-19,t-0,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h22_drop0.30_lr3,2022,2023,0.9991907789257709,0.009021793492138386,0.012731075286865234,-0.00020315498113632202,t-0,t-19,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h22_drop0.25_lr3,2020,2021,0.9995237575807729,0.006907268892973661,0.016108274459838867,4.3373554944992065e-05,t-19,t-0,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h22_drop0.25_lr3,2022,2023,0.999120714089042,0.009404790587723255,0.013300180435180664,-0.00021225214004516602,t-0,t-19,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_monthly_h16_drop0.25,2021,2022,0.9860741921435765,0.0484071746468544,-0.006941080093383789,0.0008835047483444214,t-3,t-11,8,False,True,False,True,2
01_staleness_features_fixed/sweep_stale_monthly_h16_drop0.25,2022,2023,0.9794077964953058,0.05891236290335655,0.0027675628662109375,-0.00047491490840911865,t-11,t-0,11,False,True,False,True,2
01_staleness_features_fixed/sweep_stale_monthly_h16_drop0.25,2023,2024,0.9941039484475375,0.031435467302799225,0.0007741451263427734,-0.0006493330001831055,t-0,t-11,11,False,True,False,True,2
01_staleness_features_fixed/sweep_stale_h12_drop0.35_lr5,2022,2023,0.9997658288072591,0.004843082278966904,-0.06254243850708008,-4.8883259296417236e-05,t-0,t-0,0,False,False,True,False,1
01_staleness_features_fixed/sweep_stale_h22_drop0.30_lr5,2020,2021,0.9995509988348417,0.006705463398247957,0.01279139518737793,7.461756467819214e-06,t-19,t-0,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h22_drop0.30_lr5,2022,2023,0.99940788114178,0.007712530437856913,0.0077228546142578125,-0.0001500844955444336,t-0,t-19,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h22_drop0.25_lr5,2020,2021,0.9995605689507666,0.006633944809436798,0.013990402221679688,1.2308359146118164e-05,t-19,t-0,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h22_drop0.25_lr5,2022,2023,0.9993269217482182,0.008223416283726692,0.00944375991821289,-0.00016585737466812134,t-0,t-19,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h22_drop0.15_lr5,2020,2021,0.9994988509897268,0.0070863524451851845,0.014942407608032227,6.325170397758484e-05,t-19,t-0,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h22_drop0.15_lr5,2022,2023,0.9990784319449998,0.00963099580258131,0.014123201370239258,-0.0002293512225151062,t-0,t-19,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h22_drop0.15_lr3,2020,2021,0.99951806036164,0.0069485739804804325,0.01497030258178711,5.066767334938049e-05,t-19,t-0,19,False,False,False,True,1
01_staleness_features_fixed/sweep_stale_h22_drop0.15_lr3,2022,2023,0.9990661862254684,0.009691949002444744,0.013784408569335938,-0.00022230297327041626,t-0,t-19,19,False,False,False,True,1
01_staleness_features_fixed/staleness_fixed_h16_drop0.25_seed999,2022,2023,0.9981419375734064,0.013662242330610752,-2.86102294921875e-05,-1.4789402484893799e-06,t-19,t-0,19,False,False,False,True,1
00_baseline_exploration/sweep2_h16_drop_0.1,2021,2022,0.9925829493412993,0.027369897812604904,0.032120466232299805,0.0003455318510532379,t-0,t-19,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_drop_0.1,2022,2023,0.9864786802531613,0.03707074373960495,-0.04839777946472168,0.0003309585154056549,t-19,t-0,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_drop_0.1,2023,2024,0.9806391184133392,0.046348992735147476,-0.10890674591064453,0.004405450075864792,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep2_h16_drop_0.1,2024,2025,0.9830890681416877,0.04321008548140526,-0.016330718994140625,-0.0033283010125160217,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/sweep_encoder_40,2023,2024,0.9995984948270237,0.004484209232032299,-0.00021529197692871094,-3.0333176255226135e-05,t-39,t-18,21,False,False,False,True,1
