experiment_name,phase,evaluation_type,hidden_size,dropout,learning_rate,best_val_loss,total_epochs,early_stopped,checkpoint_selected,checkpoint_epoch,n_folds,fold_years,test_mse,test_rmse,test_mae,test_r2,dir_acc,sharpe_ratio,auc_roc,alpha,precision,recall,f1_score,hit_rate,num_trades,dir_acc_std,sharpe_std,healthy_pct_std,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,pred_std,num_unique,pct_positive,pct_negative,num_negative,composite_score,evaluated,collapsed
exp001_baseline,00_baseline_exploration,standard,32.0,0.15,0.001,0.39423084259033203,48,True,default,,,,1.176902174949646,1.0848512649536133,0.7738154530525208,-0.00011909008026123047,0.5265625,0.7697217541762329,0.5018913034406749,-0.12207865715026855,0.5336658354114713,0.9344978165938864,0.6793650793650793,0.5015625,1203.0,,,,30.234375000000004,7.03125,62.734375,0.0,0.0,69.765625,False,False,True,True,0.067879,1280.0,93.984375,6.015625,77.0,0.5284538034406749,True,False
exp002_small,00_baseline_exploration,standard,16.0,0.15,0.001,0.40068119764328003,51,True,default,,,,1.1725597381591797,1.0828479528427124,0.7709203958511353,0.003571033477783203,0.5375,0.9489821276181274,0.5227950543826447,0.08257424831390381,0.5436179981634527,0.8617176128093159,0.6666666666666666,0.4625,1089.0,,,,43.4375,5.390625,51.171875,0.0,0.0,56.5625,False,False,True,True,0.069927,1280.0,85.078125,14.921875000000002,191.0,0.5602950543826447,True,False
exp003_large,00_baseline_exploration,standard,64.0,0.15,0.001,0.3922594487667084,43,True,default,,,,1.1891038417816162,1.0904604196548462,0.7764203548431396,-0.010487914085388184,0.51484375,0.5491898593321413,0.48869513563137135,-0.45579659938812256,0.5275,0.9213973799126638,0.670906200317965,0.49453125,1200.0,,,,13.359375000000002,16.71875,69.921875,0.0,0.0,86.640625,False,False,True,True,0.07009,1280.0,93.75,6.25,80.0,0.5035388856313714,True,False
exp004_attn1,00_baseline_exploration,standard,32.0,0.15,0.001,0.393707275390625,38,True,default,,,,1.1753171682357788,1.084120512008667,0.7732990980148315,0.0012277960777282715,0.5328125,0.7652061596652693,0.49169962026652525,-0.12394702434539795,0.5358004827031375,0.9694323144104804,0.6901554404145077,0.5203125,1243.0,,,,31.5625,4.84375,63.59375000000001,0.0,0.0,68.4375,False,False,True,True,0.05508,1280.0,97.109375,2.890625,37.0,0.5245121202665253,True,False
exp005_attn4,00_baseline_exploration,standard,32.0,0.15,0.001,0.3964081406593323,40,True,default,,,,1.17354154586792,1.0833011865615845,0.7731990814208984,0.002736687660217285,0.5265625,0.9715244996085568,0.5201293106622384,0.006970643997192383,0.5473684210526316,0.6812227074235808,0.6070038910505836,0.365625,855.0,,,,51.87500000000001,17.578125,28.281250000000004,2.265625,0.0,48.125,True,False,True,True,0.068749,1280.0,66.796875,33.203125,425.0,0.5466918106622385,True,False
exp006_monthly,00_baseline_exploration,standard,32.0,0.15,0.001,1.720292091369629,74,True,default,,,,21.161169052124023,4.600127220153809,3.790424346923828,-0.0019049644470214844,0.6274509803921569,3.274471076839194,0.5657894736842106,0.0,0.6274509803921569,1.0,0.7710843373493976,0.6274509803921569,51.0,,,,58.82352941176471,0.0,41.17647058823529,0.0,0.0,41.17647058823529,False,False,False,True,0.016072,51.0,100.0,0.0,0.0,0.6932404540763675,True,True
sweep2_combo1,00_baseline_exploration,standard,12.0,0.2,0.0004,0.3973938226699829,100,False,default,,,,1.1638619899749756,1.0788244009017944,0.7693415284156799,0.0025281310081481934,0.530952380952381,0.7907138457755453,0.5025597269624573,-0.09614408016204834,0.5333869670152857,0.983679525222552,0.6917057902973396,0.5261904761904762,1243.0,,,,9.841269841269842,1.507936507936508,85.79365079365078,1.8253968253968256,1.0317460317460316,90.15873015873015,True,True,True,True,0.035913,1260.0,98.65079365079364,1.3492063492063493,17.0,0.5335121079148383,True,True
sweep2_combo2,00_baseline_exploration,standard,10.0,0.15,0.0005,0.402525395154953,91,True,default,,,,1.1802077293395996,1.0863736867904663,0.7752647995948792,0.0027393698692321777,0.5338582677165354,0.9090400093512463,0.5047858276703323,0.08326244354248047,0.5453597497393118,0.7702503681885126,0.6385836385836386,0.41181102362204725,959.0,,,,44.960629921259844,9.84251968503937,40.94488188976378,1.574803149606299,2.677165354330709,55.039370078740156,True,True,True,True,0.046706,1270.0,75.51181102362204,24.488188976377952,311.0,0.5386440953868677,True,True
sweep2_combo3,00_baseline_exploration,standard,18.0,0.25,0.0003,0.3973490297794342,100,False,default,,,,1.1812355518341064,1.0868465900421143,0.7753164172172546,0.0018708109855651855,0.5346456692913386,0.7914648875824186,0.4697213230365148,0.0,0.5346456692913386,1.0,0.6967675731144177,0.5346456692913386,1270.0,,,,2.3622047244094486,0.0,76.69291338582677,6.6141732283464565,14.330708661417324,97.63779527559055,True,True,False,True,0.031594,1270.0,100.0,0.0,0.0,0.5043669923278534,True,True
sweep2_h16_drop_0.05,00_baseline_exploration,standard,16.0,0.05,0.0005,0.4024626612663269,58,True,default,,,,1.1721553802490234,1.0826612710952759,0.772081732749939,0.00391465425491333,0.5296875,0.8048062877928472,0.5231853428278975,-0.20713531970977783,0.544689800210305,0.7540029112081513,0.6324786324786325,0.4046875,951.0,,,,61.64062500000001,14.609375,21.5625,2.1875,0.0,38.359375,True,False,True,True,0.06868,1280.0,74.296875,25.703125,329.0,0.5528728428278975,True,False
