experiment,learning_rate,hidden_size,max_encoder_length,dropout,max_epochs,best_val_loss,total_epochs,early_stopped
sweep_hidden_24,0.0005,24,20,0.15,50,0.10557609796524048,11,True
sweep_hidden_16,0.0005,16,20,0.15,50,0.13244730234146118,12,True
sweep_lr_0.001,0.001,32,20,0.15,50,0.13702630996704102,11,True
sweep_baseline,0.001,32,20,0.15,50,0.13702630996704102,11,True
sweep_lr_0.0003,0.0003,32,20,0.15,50,0.1373826563358307,12,True
sweep_combo2,0.0003,64,40,0.15,100,0.13855642080307007,12,True
sweep_lr_0.0007,0.0007,32,20,0.15,50,0.14660105109214783,11,True
sweep_combo3,0.0007,32,60,0.25,75,0.14779241383075714,11,True
sweep_combo1,0.0005,48,60,0.2,100,0.14941918849945068,12,True
sweep_dropout_0.3,0.0005,32,20,0.3,50,0.1507239192724228,12,True
sweep_encoder_10,0.0005,32,10,0.15,50,0.152070090174675,11,True
sweep_hidden_48,0.0005,48,20,0.15,50,0.15297546982765198,12,True
sweep_dropout_0.1,0.0005,32,20,0.1,50,0.1530822515487671,11,True
sweep_encoder_40,0.0005,32,40,0.15,50,0.15325002372264862,11,True
sweep_encoder_60,0.0005,32,60,0.15,50,0.15337315201759338,11,True
sweep_lr_0.0005,0.0005,32,20,0.15,50,0.15444537997245789,11,True
sweep_dropout_0.15,0.0005,32,20,0.15,50,0.15444537997245789,11,True
sweep_hidden_32,0.0005,32,20,0.15,50,0.15444537997245789,11,True
sweep_encoder_20,0.0005,32,20,0.15,50,0.15444537997245789,11,True
sweep_dropout_0.2,0.0005,32,20,0.2,50,0.15493205189704895,11,True
sweep_hidden_64,0.0005,64,20,0.15,50,0.16334760189056396,11,True
sweep_lr_0.002,0.002,32,20,0.15,50,0.17011156678199768,11,True
