experiment_name,phase,hidden_size,dropout,has_staleness,n_periods,n_features,avg_concentration,std_concentration,min_concentration,max_concentration,concentration_trend,top_feature,feature_stability
06a_weekly_sweep/h16_enc8_d015_bs16,06a_weekly_sweep,16,,False,6,5,0.372556393345197,0.06975881780418969,0.30027782917022705,0.5153028964996338,0.00042906062943594855,VIX,0.5
06a_weekly_sweep/h16_enc8_d030_bs32,06a_weekly_sweep,16,,False,6,5,0.39420445760091144,0.10269249065082688,0.3076947033405304,0.5833716988563538,-0.013348099163600387,VIX,0.6666666666666666
06a_weekly_sweep/h8_enc8_d030_bs16,06a_weekly_sweep,8,,False,6,5,0.30817116300264996,0.030148100519234642,0.27402186393737793,0.35312676429748535,-0.014733433723449714,VIX,1.0
06a_weekly_sweep/h8_enc12_d015_bs16,06a_weekly_sweep,8,,False,6,5,0.3075652023156484,0.019941711085068505,0.28534507751464844,0.34330692887306213,-0.009008688586098807,VIX,0.6666666666666666
06a_weekly_sweep/h16_enc12_d025_bs16,06a_weekly_sweep,16,,False,6,5,0.33932045102119446,0.032722682711099876,0.2907170057296753,0.39422911405563354,-0.010030715806143627,Treasury_10Y,0.5
06a_weekly_sweep/h16_enc12_d030_bs32,06a_weekly_sweep,16,,False,6,5,0.40118999282519024,0.10597063737537105,0.2852315604686737,0.5742135047912598,0.006649579320635139,VIX,0.8333333333333334
06a_weekly_sweep/h16_enc12_d025_bs32,06a_weekly_sweep,16,,False,6,5,0.37241152425607044,0.08375964858596861,0.30387941002845764,0.546790599822998,0.0010245365755898585,VIX,0.5
06a_weekly_sweep/h16_enc12_d015_bs32,06a_weekly_sweep,16,,False,6,5,0.3755514820416768,0.06309528314310403,0.31413960456848145,0.5034962892532349,-0.004193147591182169,VIX,0.3333333333333333
06a_weekly_sweep/h16_enc12_d015_bs16,06a_weekly_sweep,16,,False,6,5,0.31181229650974274,0.026902969791381893,0.2889334559440613,0.36181119084358215,-0.014160267795835216,Treasury_10Y,0.5
06a_weekly_sweep/h8_enc12_d015_bs32,06a_weekly_sweep,8,,False,6,5,0.3270264466603597,0.03119041777493377,0.29001060128211975,0.36816686391830444,-0.014064485686165952,VIX,1.0
06a_weekly_sweep/h8_enc8_d015_bs32,06a_weekly_sweep,8,,False,6,5,0.31657641629378,0.022290833498499203,0.2920103073120117,0.3448708653450012,-0.007537323236465445,VIX,0.6666666666666666
06a_weekly_sweep/h16_enc8_d025_bs16,06a_weekly_sweep,16,,False,6,5,0.5627982914447784,0.04256594127259701,0.5023014545440674,0.5955864191055298,0.020667217458997474,VIX,1.0
06a_weekly_sweep/h8_enc8_d025_bs16,06a_weekly_sweep,8,,False,6,5,0.31300948063532513,0.027175431246573456,0.27979207038879395,0.3480004370212555,-0.013292372226715095,VIX,1.0
06a_weekly_sweep/h8_enc12_d030_bs32,06a_weekly_sweep,8,,False,6,5,0.3191562245289485,0.03965306751042097,0.27718761563301086,0.3827196955680847,-0.015835246869495934,VIX,1.0
06a_weekly_sweep/h16_enc8_d025_bs32,06a_weekly_sweep,16,,False,6,5,0.38287760814030963,0.0925067979703171,0.2958962917327881,0.5745492577552795,-0.016823576177869535,VIX,0.6666666666666666
06a_weekly_sweep/h8_enc8_d025_bs32,06a_weekly_sweep,8,,False,6,5,0.32227980097134906,0.031089956441693836,0.2891875207424164,0.36963510513305664,-0.009862221990312873,VIX,0.8333333333333334
06a_weekly_sweep/h8_enc12_d025_bs32,06a_weekly_sweep,8,,False,6,5,0.3220349003871282,0.03752165211209268,0.2827531397342682,0.38135862350463867,-0.01407578757831031,VIX,0.8333333333333334
06a_weekly_sweep/h16_enc8_d015_bs32,06a_weekly_sweep,16,,False,6,5,0.3736289789279302,0.06943314965588322,0.3100273013114929,0.5009397268295288,0.00935532280376976,VIX,0.5
06a_weekly_sweep/h8_enc8_d015_bs16,06a_weekly_sweep,8,,False,6,5,0.2935129851102829,0.028371628843700675,0.26671314239501953,0.3361019790172577,-0.009737630401338864,VIX,0.6666666666666666
06a_weekly_sweep/h8_enc8_d030_bs32,06a_weekly_sweep,8,,False,6,5,0.33493706087271374,0.0412879196004588,0.29248854517936707,0.40436235070228577,-0.013739048583166949,VIX,1.0
06a_weekly_sweep/h16_enc8_d030_bs16,06a_weekly_sweep,16,,False,6,5,0.46476759513219196,0.11916755553427841,0.2959088087081909,0.5694735050201416,0.0531353780201503,VIX,1.0
06a_weekly_sweep/h8_enc12_d030_bs16,06a_weekly_sweep,8,,False,6,5,0.35599566996097565,0.03304598486704354,0.31214824318885803,0.39333510398864746,-0.013273088421140403,VIX,1.0
06a_weekly_sweep/h8_enc12_d025_bs16,06a_weekly_sweep,8,,False,6,5,0.3208801398674647,0.026184177294067072,0.28651928901672363,0.3549812436103821,-0.011902016401290877,VIX,1.0
06a_weekly_sweep/h16_enc12_d030_bs16,06a_weekly_sweep,16,,False,6,5,0.36454789837201435,0.08410506303711655,0.28980696201324463,0.5438270568847656,-0.017931345530918675,VIX,0.3333333333333333
