experiment_name,phase,hidden_size,dropout,has_staleness,n_periods,n_features,avg_concentration,std_concentration,min_concentration,max_concentration,concentration_trend,top_feature,feature_stability
12b_feature_sweep/market_only_daily_7q_h3_d015_s42,12b_feature_sweep,3,,False,4,5,0.5515567809343338,0.003787340844842319,0.5452316403388977,0.5549628734588623,0.0019671618938446483,VIX,1.0
12b_feature_sweep/macro_heavy_weekly_7q_h3_enc12_s42,12b_feature_sweep,3,,False,6,7,0.2959635853767395,0.08566813437813685,0.18887931108474731,0.4297572076320648,0.040287618977682946,Industrial_Production,0.8333333333333334
12b_feature_sweep/core_dynamics_daily_7q_h1_d015_s42,12b_feature_sweep,1,,False,4,9,0.5457984209060669,0.018247229012935313,0.5210613012313843,0.567284882068634,-0.016116380691528272,VIX,1.0
12b_feature_sweep/macro_heavy_daily_7q_h1_d010_s42,12b_feature_sweep,1,,False,6,7,0.2649352326989174,0.04099965517051959,0.21588017046451569,0.34228062629699707,-0.007973320569310877,VIX,0.8333333333333334
12b_feature_sweep/market_only_weekly_7q_h5_enc8_s42,12b_feature_sweep,5,,False,4,5,0.32933034002780914,0.040497605053259576,0.29342883825302124,0.39707890152931213,-0.03083381652832033,VIX,0.75
12b_feature_sweep/core_dynamics_weekly_7q_h1_enc8_s42,12b_feature_sweep,1,,False,4,9,0.5813534408807755,0.018878617272697743,0.5636053681373596,0.6119911670684814,-0.014921516180038437,VIX,1.0
12b_feature_sweep/core_dynamics_daily_7q_h1_d010_s42,12b_feature_sweep,1,,False,4,9,0.49997637420892715,0.04082241095730365,0.44953420758247375,0.5569683909416199,-0.03635802567005159,VIX,1.0
12b_feature_sweep/market_only_weekly_7q_h5_enc12_s42,12b_feature_sweep,5,,False,4,5,0.3290776312351227,0.04809982387611586,0.2968518137931824,0.4118480682373047,-0.03575459718704222,VIX,0.75
12b_feature_sweep/market_only_daily_7q_h3_d010_s42,12b_feature_sweep,3,,False,4,5,0.5369356423616409,0.005461794455056269,0.5275737047195435,0.5412204265594482,0.0035591304302215842,VIX,1.0
12b_feature_sweep/market_only_weekly_7q_h3_enc12_s42,12b_feature_sweep,3,,False,4,5,0.33607931435108185,0.04552674920578952,0.2938135862350464,0.4107763171195984,-0.035527247190475446,VIX,0.75
