experiment,directional_acc,auc_roc,sharpe,precision,recall,alpha,num_trades,predicted_down,pct_down_predictions,r2,rmse,composite_score
sweep2_h16_drop_0.2,0.53046875,0.5435367988001698,0.9282216762359428,0.5678233438485805,0.5240174672489083,-0.32075750827789307,634,646,0.5046875,-0.0038242340087890625,1.086858868598938,0.5740055488001699
sweep2_h16_enc_40,0.5246031746031746,0.5442622618770317,0.8151465367704398,0.5698324022346368,0.4540059347181009,-0.44857311248779297,537,723,0.5738095238095238,-0.005221128463745117,1.0830068588256836,0.5688654364802064
sweep2_hidden_16,0.52421875,0.5438853582921567,0.8480382057224343,0.5665529010238908,0.48326055312954874,-0.40112316608428955,586,694,0.5421875,-0.0054721832275390625,1.0877506732940674,0.5681041082921566
sweep2_h16_lr_0.0002,0.5203125,0.5426874918689908,0.7922912109814298,0.5641476274165202,0.4672489082969432,-0.44844377040863037,569,711,0.55546875,-0.005753040313720703,1.087902545928955,0.5629999918689907
sweep2_hidden_18,0.48984375,0.4797332292564146,0.5426946487199897,0.5223097112860893,0.5793304221251819,-0.47209787368774414,762,518,0.4046875,-0.007254362106323242,1.0887142419815063,0.4695769792564146
sweep2_hidden_8,0.46328125,0.4900734184113051,0.0,0.0,0.0,-0.9216080904006958,0,1280,1.0,-0.02163684368133545,1.0964595079421997,0.45335466841130506
sweep_hidden_16,0.52421875,0.5438853582921567,0.8480382057224343,0.5665529010238908,0.48326055312954874,-0.40112316608428955,586,694,0.5421875,-0.0054721832275390625,1.0877506732940674,0.5681041082921566
sweep2_hidden_10,0.46328125,0.5312390308082406,0.0,0.0,0.0,-0.9216080904006958,0,1280,1.0,-0.008224129676818848,1.089238166809082,0.4945202808082406
sweep2_hidden_14,0.46328125,0.4853420915042305,0.0,0.0,0.0,-0.9216080904006958,0,1280,1.0,-0.08912444114685059,1.1320955753326416,0.4486233415042305
sweep2_h16_enc_50,0.5272,0.5424079405385797,0.9139599836949186,0.5770750988142292,0.43647234678624813,-0.40214335918426514,506,744,0.5952,-0.006741166114807129,1.0821094512939453,0.5696079405385797
sweep2_combo2,0.4653543307086614,0.5397556374582906,0.0,0.0,0.0,-0.8470276594161987,0,1270,1.0,-0.007865071296691895,1.0921343564987183,0.505109968166952
sweep2_h16_drop_0.25,0.53671875,0.5429182284341088,1.0193497774015514,0.5673352435530086,0.5764192139737991,-0.22291254997253418,698,582,0.4546875,-0.0028194189071655273,1.0863146781921387,0.5796369784341088
